Portfolio,SPY
daily_value,daily_value
1000000.0,1000000.0
1008740.3225720923,998847.9262672812
1008692.4535459509,1005529.9539170507
981001.0537341031,975460.8294930876
997510.7605330502,979377.8801843319
979848.6568105207,958410.1382488479
956105.4107699222,935368.66359447
956247.5058969186,937096.7741935485
931549.2444661892,907603.6866359448
928545.9572033257,907949.3087557604
938037.133280451,915092.1658986177
920040.9476314308,866705.0691244241
949922.6652204617,904147.4654377882
971044.2580679052,890207.3732718894
1000467.3691681373,894124.4239631337
1006833.4436607581,900230.4147465439
1012901.0869874408,909331.7972350232
1031037.6710328312,940092.1658986175
1030619.791009523,909562.2119815669
1025894.6690895851,891013.8248847927
1020543.4773394323,888364.0552995392
1025358.5844183823,900806.4516129032
1031567.8250486816,896428.5714285715
1054820.1862176459,909792.6267281106
1075230.0565642128,935714.2857142857
1082183.3412486976,936981.5668202766
1058746.7503970433,894124.4239631337
1062862.789670816,899308.7557603688
1078956.3709051819,900000.0000000002
1071593.9409492346,890322.5806451616
1056323.7489499778,852188.9400921661
1069875.130060437,850230.4147465439
1045988.010228043,841013.8248847928
1058494.1380301442,832834.1013824887
1031547.4553264659,803110.599078341
1041537.3591156829,833525.3456221198
1034804.1983022827,826958.5253456222
1023747.2885302393,813479.2626728112
1018909.2276995593,795276.4976958527
996055.0847769451,759447.004608295
991623.7799289317,753801.8433179725
993557.4737121062,771658.9861751153
987249.1416070758,740092.1658986175
981006.6950425858,741474.6543778802
955410.4057258582,732718.8940092166
976631.5954573605,776382.4884792627
999083.2220552799,781451.6129032258
1025158.7054922221,812211.9815668204
1025313.1315549131,818548.3870967744
1018061.0391817275,816129.0322580648
1040905.4287919814,841013.8248847928
1059928.6721153357,859907.8341013826
1063104.7898327492,849193.5483870968
1056864.2514474723,831105.9907834103
1086855.0584267306,890783.4101382488
1075448.722321876,873271.8894009216
1079230.6031338586,882488.4792626727
1097241.8611213823,900460.8294930875
1076473.0066258167,884216.5898617511
1060607.527745712,853686.6359447003
1066775.3558617935,861635.9447004609
1087223.428365236,878225.8064516129
1096642.5275526487,903917.050691244
1106625.988953338,912903.2258064513
1102556.3060598662,905760.3686635942
1090366.9189673287,884677.4193548384
1096507.1066649084,894239.6313364053
1113495.532905593,929723.5023041472
1124186.0490909796,929953.917050691
1109349.8102714992,913940.0921658983
1114903.656764446,923617.5115207371
1124498.8647103012,937211.9815668201
1129628.8041234126,943548.3870967742
1118139.0820085735,903917.0506912441
1124562.8008019167,921658.9861751151
1125667.3983987677,916013.8248847926
1146801.182839684,925000.0
1150170.3232277771,938940.0921658985
1146878.5556995799,930069.1244239631
1138065.3545423374,927073.732718894
1151367.6517774996,946889.400921659
1149334.0712165223,947119.8156682027
1152763.247967754,952304.1474654379
1181960.416831503,984677.4193548388
1182200.2707711959,981336.4055299541
1188927.069460602,998271.8894009219
1173268.3709311143,984447.004608295
1185186.7273428363,1007373.2718894009
1184124.767566201,988594.470046083
1168114.7987345548,985599.0783410138
1146425.6545640829,960829.4930875577
1156285.1232370175,969009.2165898618
1157734.7713533689,961175.1152073734
1172168.0946221496,988479.2626728112
1178904.0062839338,987211.9815668204
1177456.3639007814,980645.1612903228
1177360.2456602023,966589.8617511523
1171890.5699453382,964516.1290322582
1205406.687173682,989170.5069124425
1210352.6387490924,971543.7788018434
1224857.8089354967,985138.2488479265
1240805.5159972652,1002534.5622119816
1259099.8481395585,1026843.3179723502
1265068.9753888515,1027649.7695852534
1261846.3216646875,1014631.3364055298
1286004.5920485468,1024193.5483870967
1279884.0009134826,1024423.9631336406
1273286.1197945038,1020161.2903225806
1268759.1297233524,1025345.6221198156
1259750.7860573605,1022811.0599078339
1256026.9141939352,1027304.1474654377
1236144.0788619511,1030184.331797235
1222074.1811905936,1006566.8202764976
1224844.8100291763,992857.1428571428
1223458.7016753335,991935.4838709675
1220350.7882803553,999193.5483870966
1236851.7344640344,1002880.184331797
1212915.560116732,972811.0599078338
1202684.1122957584,973502.3041474653
1214076.1360079108,981912.4423963132
1235889.7094074124,1003341.0138248845
1249239.8662563064,1000691.244239631
1247678.4074475635,1010023.041474654
1242796.659996874,1001843.3179723497
1248924.8379694046,1005990.7834101376
1225240.5187388293,978571.428571428
1218533.22665796,978456.2211981562
1197691.3933263742,959447.0046082945
1200305.8204889325,958870.967741935
1203151.7800269604,960714.2857142853
1212049.8739698126,958410.1382488474
1234382.8257520914,981682.0276497691
1237913.6682332114,987327.1889400918
1270928.9406996516,1016129.0322580641
1274631.9265966949,1014516.1290322577
1280757.5035547626,1025691.244239631
1291344.9227802805,1036520.7373271886
1286481.2388624402,1041359.4470046079
1304495.2567954378,1041129.0322580641
1315252.94829416,1064055.29953917
1329804.3577506323,1068433.179723502
1330930.0300774453,1071658.9861751148
1319034.2857243307,1066589.8617511517
1312101.7276409923,1063940.0921658983
1328111.6723035255,1075115.2073732715
1336113.86067966,1076612.903225806
1354609.4907247757,1094354.8387096769
1356324.202229532,1097235.0230414742
1353003.5540208896,1094009.2165898613
1347369.7038307432,1088364.0552995387
1352578.6056662379,1102649.7695852527
1345517.678310371,1100345.622119815
1336152.724728044,1086635.94470046
1349191.9217573274,1098271.8894009208
1364915.8573369645,1106682.0276497689
1354073.798661794,1098156.682027649
1312381.7226108345,1071198.1566820268
1329206.3864998592,1079723.5023041468
1334442.9467921199,1089170.506912442
1349918.6044069165,1100345.622119815
1370553.067085205,1122004.6082949303
1367835.9586369316,1121889.4009216584
1371777.543724348,1124078.3410138243
1364071.494392426,1124193.5483870963
1370861.3446095989,1126612.903225806
1374232.720852438,1126382.4884792622
1362851.3378554948,1116359.4470046079
1350937.5631362402,1091820.2764976954
1359168.2656949759,1087672.8110599073
1372522.5414308873,1096658.9861751148
1388758.2937736341,1112096.774193548
1397117.6312839645,1121658.9861751148
1392726.4156129428,1130184.3317972345
1404810.0439508809,1141820.2764976954
1408406.3607816084,1141589.8617511517
1411663.5646586441,1147119.8156682022
1421646.9167033103,1151958.5253456216
1456261.8523750936,1169354.838709677
1463986.204292459,1167626.7281105986
1462464.7996780637,1168317.97235023
1460631.3773023654,1165437.788018433
1469839.8182001547,1172235.0230414744
1467922.4225942427,1162442.396313364
1455274.6552234758,1149654.3778801842
1444976.8458923155,1143548.387096774
1462572.2930128092,1163940.0921658985
1461167.3119163285,1160483.8709677418
1465409.2897906855,1155990.7834101382
1439066.5284913632,1127304.1474654377
1452149.6811615254,1122004.6082949308
1466248.7523555954,1138824.8847926266
1498591.2340835845,1155069.124423963
1511474.3041630988,1158294.9308755759
1512536.8125515387,1167165.8986175111
1514366.8345148168,1174308.7557603684
1524725.2197169946,1178917.0506912437
1526832.2603351441,1176497.6958525341
1538350.7139454605,1196658.986175115
1527839.2522300673,1201036.8663594467
1533663.074176157,1192165.8986175111
1546521.7286387726,1201958.5253456216
1571197.8265591352,1195622.1198156679
1593057.147235748,1184907.8341013822
1598046.1982774872,1196889.4009216586
